# Jeddah daily weather, 2023-2024
# Source: Open-Meteo Historical Weather API (ERA5). Licence: CC-BY 4.0
# Units: temp C | humidity % | wind km/h | solar MJ/m2
date,temp_max_c,temp_min_c,humidity_pct,wind_max_kmh,solar_mj_m2
2023-01-01,26.8,20.5,83,25.6,14.74
2023-01-02,26.8,20.6,85,18.2,14.62
2023-01-03,27.7,21.4,84,23.1,13.57
2023-01-04,25.1,19.9,80,28.8,10.67
2023-01-05,23.4,18.9,71,25.7,8.96
2023-01-06,24.8,18.6,66,25.1,16.33
2023-01-07,25.3,16.9,72,17.7,16.55
2023-01-08,26.7,18.8,72,13.0,15.41
2023-01-09,25.9,21.0,76,33.0,8.87
2023-01-10,25.4,18.1,54,29.2,16.62
2023-01-11,26.4,17.3,60,18.9,13.76
2023-01-12,26.7,20.2,61,23.3,14.23
2023-01-13,26.8,20.9,59,25.8,12.34
2023-01-14,26.6,20.9,59,21.2,8.83
2023-01-15,27.0,20.8,56,22.1,10.97
2023-01-16,25.8,21.5,61,22.7,7.36
2023-01-17,26.5,21.2,49,31.0,16.61
2023-01-18,29.1,20.5,52,23.5,16.8
2023-01-19,30.8,19.8,51,23.1,17.02
2023-01-20,29.0,21.4,68,19.6,16.66
2023-01-21,29.8,21.8,71,18.6,16.03
2023-01-22,29.8,21.3,74,21.6,15.26
2023-01-23,28.9,21.9,73,25.6,15.58
2023-01-24,28.8,20.9,70,22.6,17.19
2023-01-25,27.1,21.3,70,21.1,16.32
2023-01-26,27.9,20.0,60,25.3,17.97
2023-01-27,29.0,20.8,53,21.6,17.84
2023-01-28,30.2,20.8,59,20.6,18.04
2023-01-29,30.6,21.5,56,23.2,17.54
2023-01-30,29.9,22.7,73,27.7,17.05
2023-01-31,30.3,24.3,72,36.9,16.81
2023-02-01,26.0,21.3,53,31.6,9.95
2023-02-02,25.2,18.6,44,37.4,18.66
2023-02-03,26.7,18.1,44,29.5,19.07
2023-02-04,26.3,18.8,58,28.7,18.73
2023-02-05,27.3,18.0,60,21.5,18.82
2023-02-06,26.8,19.3,70,24.7,16.47
2023-02-07,25.7,19.9,50,36.6,19.3
2023-02-08,25.0,17.3,55,39.6,19.37
2023-02-09,28.6,19.1,50,30.8,19.49
2023-02-10,28.4,19.1,66,23.3,19.4
2023-02-11,28.5,19.9,66,18.3,19.3
2023-02-12,28.3,20.9,73,27.6,17.72
2023-02-13,27.1,20.4,63,29.0,19.4
2023-02-14,26.1,19.2,66,29.5,19.54
2023-02-15,25.2,20.1,55,35.0,14.99
2023-02-16,25.3,17.8,48,35.7,20.44
2023-02-17,28.7,20.3,48,29.0,20.09
2023-02-18,28.7,20.7,61,19.1,19.5
2023-02-19,29.9,20.9,61,20.0,20.27
2023-02-20,29.3,21.0,60,17.1,19.25
2023-02-21,29.6,20.0,58,20.3,20.54
2023-02-22,28.3,19.6,70,20.2,20.76
